region_id,date,element,station_count,minimum,maximum
SA-01,20200809,TMAX,2,44.0,44.0
SA-01,20200809,TMIN,2,27.0,30.0
SA-01,20200810,TMAX,2,42.7,45.0
SA-01,20200810,TMIN,2,27.1,29.0
SA-01,20200811,TMAX,2,41.2,43.0
SA-01,20200811,TMIN,2,26.0,27.8
SA-01,20200812,TMAX,1,42.0,42.0
SA-01,20200812,TMIN,2,26.0,26.5
SA-01,20200813,TMAX,1,43.0,43.0
SA-01,20200813,TMIN,2,25.0,25.0
SA-01,20200814,TMAX,2,42.0,43.0
SA-01,20200814,TMIN,2,27.0,29.0
SA-01,20200815,TMAX,2,43.0,44.0
SA-01,20200815,TMIN,1,29.0,29.0
SA-01,20200816,TMAX,1,43.0,43.0
SA-01,20200817,TMAX,1,43.0,43.0
SA-01,20200817,TMIN,2,27.5,29.0
SA-01,20200818,TMAX,1,43.0,43.0
SA-01,20200818,TMIN,2,26.5,28.0
SA-01,20200819,TMAX,1,44.0,44.0
SA-01,20200819,TMIN,2,22.9,29.0
SA-01,20200820,TMAX,2,44.0,44.0
SA-01,20200820,TMIN,2,24.8,26.0
SA-01,20200821,TMIN,2,25.7,26.0
SA-01,20200822,TMAX,2,44.0,44.2
SA-01,20200822,TMIN,1,27.0,27.0
SA-01,20200823,TMAX,2,44.0,46.2
SA-01,20200823,TMIN,2,27.4,30.0
SA-01,20200824,TMAX,1,46.0,46.0
SA-01,20200824,TMIN,1,28.0,28.0
SA-01,20200825,TMAX,2,42.4,46.0
SA-01,20200825,TMIN,1,32.0,32.0
SA-01,20200826,TMAX,2,42.8,45.0
SA-01,20200826,TMIN,1,31.0,31.0
SA-01,20200827,TMAX,1,41.4,41.4
SA-01,20200827,TMIN,1,31.0,31.0
SA-01,20200828,TMAX,1,43.0,43.0
SA-01,20200828,TMIN,2,25.0,30.0
SA-01,20200829,TMAX,2,41.1,42.0
SA-01,20200829,TMIN,2,25.6,30.0
SA-01,20200830,TMAX,2,42.4,43.0
SA-01,20200830,TMIN,2,25.8,29.0
SA-01,20200831,TMAX,2,41.3,43.0
SA-01,20200831,TMIN,2,23.7,25.0
SA-01,20200901,TMAX,2,42.0,42.0
SA-01,20200901,TMIN,2,25.0,27.7
SA-01,20200902,TMIN,2,27.0,29.0
SA-01,20200903,TMAX,1,41.0,41.0
SA-01,20200903,TMIN,1,27.2,27.2
SA-01,20200904,TMAX,2,42.0,43.8
SA-01,20200904,TMIN,2,25.0,26.4
SA-01,20200905,TMAX,2,42.0,44.0
SA-01,20200905,TMIN,2,25.0,26.4
SA-01,20200906,TMAX,2,42.0,42.0
SA-01,20200906,TMIN,2,26.0,26.1
SA-01,20200907,TMAX,2,41.0,42.0
SA-01,20200907,TMIN,1,26.0,26.0
SA-01,20200908,TMAX,2,40.0,40.1
SA-01,20200908,TMIN,1,26.0,26.0
SA-01,20200909,TMAX,1,40.0,40.0
SA-01,20200909,TMIN,2,24.9,28.0
SA-01,20200910,TMAX,1,41.0,41.0
SA-01,20200910,TMIN,2,24.9,26.0
SA-01,20200911,TMAX,2,42.0,44.1
SA-01,20200911,TMIN,2,25.0,28.0
SA-01,20200912,TMAX,2,43.0,43.3
SA-01,20200912,TMIN,2,25.0,26.7
SA-01,20200913,TMAX,2,42.0,42.9
SA-01,20200913,TMIN,1,25.0,25.0
SA-01,20200914,TMAX,2,41.0,42.0
SA-01,20200914,TMIN,2,25.0,25.5
SA-01,20200915,TMAX,1,42.0,42.0
SA-01,20200915,TMIN,2,27.0,29.0
SA-01,20200916,TMAX,2,42.0,42.9
SA-01,20200916,TMIN,2,26.0,27.0
SA-01,20200917,TMAX,2,41.0,41.1
SA-01,20200917,TMIN,2,23.6,25.0
SA-01,20200918,TMAX,2,41.0,42.2
SA-01,20200918,TMIN,2,24.0,24.8
SA-01,20200919,TMAX,2,41.0,41.5
SA-01,20200919,TMIN,2,22.0,25.0
SA-01,20200920,TMAX,2,40.0,40.0
SA-01,20200920,TMIN,2,24.0,25.0
