case_id,source_file,file_size_bytes,sha256,file_modified_at_utc,validated_at_utc,validation_status,validation_errors,validation_warnings,initial_time,lead_time_hours,valid_start_time,valid_end_time,forecast_model,source_resolution,indicator_version,indicator_mapping_sha256,implementation_sha256,repository_revision
20200715_00,handoff/mazu_like/mazu_like_20200715_00_lead048.nc,370764,45bc6988301d9754889c7cae5109527b35b1ff335d8cfc8729319bfe9b13a41f,2026-07-16T08:43:57.931933Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200715_00,handoff/mazu_like/mazu_like_20200715_00_lead072.nc,370764,829cebfdd79fcae3560f4d9aa7875b94f6859569d4d0aaf4beb9eb33018b6190,2026-07-16T08:43:57.959621Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200725_00,handoff/mazu_like/mazu_like_20200725_00_lead024.nc,370764,4b19d6c8bb6fb56432e7748fad496a298add24e0ce3d2cc53e5ed50df4e8c1e8,2026-07-16T09:07:19.703026Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200725_00,handoff/mazu_like/mazu_like_20200725_00_lead048.nc,370764,d9d686b0ea34cb62809634795c2d4955386efd12bc37a71e4ce539e5950a2285,2026-07-16T09:07:19.812254Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200725_00,handoff/mazu_like/mazu_like_20200725_00_lead072.nc,370764,fab214726cda2e050552a5103e44abecae4993db4614f1fbaa7a1fb74ad53d34,2026-07-16T09:07:19.911379Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200711_00,handoff/mazu_like/mazu_like_20200711_00_lead024.nc,370764,092fcba367e7760b7acc9dafe6b1344a08b3906821d88eb97716a2a807dc091c,2026-07-16T09:32:07.372061Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-11T00:00:00Z,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200711_00,handoff/mazu_like/mazu_like_20200711_00_lead048.nc,370764,60048b6c91e3afd825d68c7815c5de09d6a90b0c6f3a403781d7470fd8533c8f,2026-07-16T09:32:07.495203Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-11T00:00:00Z,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200711_00,handoff/mazu_like/mazu_like_20200711_00_lead072.nc,370764,76bb5eb6a28c0abcf18d9f10c485d882da1d0974f340304406822b31f83af2e6,2026-07-16T09:32:07.640024Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200729_00,handoff/mazu_like/mazu_like_20200729_00_lead024.nc,370764,0f5a9ce7a8957d332b2b02e3741f4a62d45729d8b40d73cdbcaefb17a001ef1b,2026-07-16T10:03:31.412446Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-29T00:00:00Z,24,2020-07-29T00:00:00Z,2020-07-30T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200729_00,handoff/mazu_like/mazu_like_20200729_00_lead048.nc,370764,de655970ddbf50b6a9a3a040b63258ea306c58fe5d7c54d0aebcea5043c66a5b,2026-07-16T10:03:31.527966Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-29T00:00:00Z,48,2020-07-30T00:00:00Z,2020-07-31T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
