method,source_group,case_id,case_role,region_id,lead_time_hours,evaluation_scope,source_spatial_p95_degc,raw_forecast_tmax_degc,source_maximum_degc,maximum_weight,base_aggregated_tmax_degc,correction_degc,candidate_tmax_degc,observed_tmax_degc,hot_day_threshold_degc,severe_hot_day_threshold_degc,observed_hot_day,candidate_hot_day,candidate_severe_hot_day,forecast_hot_day_streak,candidate_positive
pooled_median_loco,2020_retrospective_sa04,20200908_00,event,SA-04,72,target_window,44.312521,44.312521,45.126556,0.0,44.312521,1.4636410000000026,45.776162,47.0,47.0,49.0,True,False,False,0,False
pooled_median_loco,2020_retrospective_sa04,20200927_00,control,SA-04,24,context_only,42.87088,42.87088,44.483429,0.0,42.87088,1.471420000000002,44.3423,45.0,47.0,49.0,False,False,False,0,False
pooled_median_loco,2020_retrospective_sa04,20200927_00,control,SA-04,48,target_window,40.859718,40.859718,41.427032,0.0,40.859718,1.471420000000002,42.331138,41.0,47.0,49.0,False,False,False,0,False
pooled_median_loco,2020_retrospective_sa04,20200927_00,control,SA-04,72,target_window,40.499168,40.499168,40.668945,0.0,40.499168,1.471420000000002,41.970588,42.0,47.0,49.0,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180601_00,event,SA-04,24,target_window,45.509152,45.509152,47.119934,0.0,45.509152,0.849338000000003,46.35849,47.0,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180601_00,event,SA-04,48,target_window,46.568024,46.568024,47.063049,0.0,46.568024,1.917664000000002,48.485688,48.2,47.249969,49.078418,True,True,False,1,False
lead_median_loco,2018_cross_year_prospective,20180601_00,event,SA-04,72,target_window,46.616957,46.616957,47.945801,0.0,46.616957,1.5839399999999983,48.200897,47.3,47.249969,49.078418,True,True,False,2,True
lead_median_loco,2018_cross_year_prospective,20180614_00,control,SA-04,24,target_window,45.632617,45.632617,46.299377,0.0,45.632617,0.8836119999999994,46.516229,43.3,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180614_00,control,SA-04,48,target_window,45.749274,45.749274,46.285767,0.0,45.749274,1.917664000000002,47.666938,43.0,47.249969,49.078418,False,True,False,1,False
lead_median_loco,2018_cross_year_prospective,20180614_00,control,SA-04,72,target_window,44.504704,44.504704,44.945923,0.0,44.504704,1.5839399999999983,46.088643999999995,42.8,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180619_00,event,SA-03,24,target_window,43.52858,43.52858,44.153992,0.0,43.52858,0.849338000000003,44.377918,45.0,47.0,49.0,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180619_00,event,SA-03,48,target_window,44.2686,44.2686,45.414276,0.0,44.2686,1.6319760000000016,45.900576,47.0,47.0,49.0,True,False,False,0,False
