case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200711_00,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,SA-14,daily_precip_total,maximum,0.61942881,1.9,mm,,IMERG,IMERG_FINAL_V07B_2020-07-13_SA-14_maximum,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,24,2020-11-12T00:00:00Z,2020-11-13T00:00:00Z,SA-02,daily_precip_total,weighted_mean,0.12255065,0.002,mm,,IMERG,IMERG_FINAL_V07B_2020-11-12_SA-02_weighted_mean,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,24,2020-11-12T00:00:00Z,2020-11-13T00:00:00Z,SA-02,daily_precip_total,spatial_p95,0.28697532,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-11-12_SA-02_spatial_p95,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,24,2020-11-12T00:00:00Z,2020-11-13T00:00:00Z,SA-02,daily_precip_total,maximum,0.81106734,1.5,mm,,IMERG,IMERG_FINAL_V07B_2020-11-12_SA-02_maximum,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,48,2020-11-13T00:00:00Z,2020-11-14T00:00:00Z,SA-02,daily_precip_total,weighted_mean,0.18872385,0.0,mm,,IMERG,IMERG_FINAL_V07B_2020-11-13_SA-02_weighted_mean,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,48,2020-11-13T00:00:00Z,2020-11-14T00:00:00Z,SA-02,daily_precip_total,spatial_p95,0.30507801,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-11-13_SA-02_spatial_p95,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,48,2020-11-13T00:00:00Z,2020-11-14T00:00:00Z,SA-02,daily_precip_total,maximum,0.55369115,0.0,mm,,IMERG,IMERG_FINAL_V07B_2020-11-13_SA-02_maximum,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,72,2020-11-14T00:00:00Z,2020-11-15T00:00:00Z,SA-02,daily_precip_total,weighted_mean,0.18650273,0.0,mm,,IMERG,IMERG_FINAL_V07B_2020-11-14_SA-02_weighted_mean,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,72,2020-11-14T00:00:00Z,2020-11-15T00:00:00Z,SA-02,daily_precip_total,spatial_p95,0.27995029,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-11-14_SA-02_spatial_p95,1.0,,accepted
20201112_00,2020-11-12T00:00:00Z,72,2020-11-14T00:00:00Z,2020-11-15T00:00:00Z,SA-02,daily_precip_total,maximum,0.78448439,0.3,mm,,IMERG,IMERG_FINAL_V07B_2020-11-14_SA-02_maximum,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,24,2020-11-25T00:00:00Z,2020-11-26T00:00:00Z,SA-02,daily_precip_total,weighted_mean,0.25279536,0.003,mm,,IMERG,IMERG_FINAL_V07B_2020-11-25_SA-02_weighted_mean,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,24,2020-11-25T00:00:00Z,2020-11-26T00:00:00Z,SA-02,daily_precip_total,spatial_p95,0.86928514,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-11-25_SA-02_spatial_p95,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,24,2020-11-25T00:00:00Z,2020-11-26T00:00:00Z,SA-02,daily_precip_total,maximum,1.5854474,0.5,mm,,IMERG,IMERG_FINAL_V07B_2020-11-25_SA-02_maximum,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,48,2020-11-26T00:00:00Z,2020-11-27T00:00:00Z,SA-02,daily_precip_total,weighted_mean,5.8722587,4.021,mm,,IMERG,IMERG_FINAL_V07B_2020-11-26_SA-02_weighted_mean,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,48,2020-11-26T00:00:00Z,2020-11-27T00:00:00Z,SA-02,daily_precip_total,spatial_p95,15.855292,14.7,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-11-26_SA-02_spatial_p95,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,48,2020-11-26T00:00:00Z,2020-11-27T00:00:00Z,SA-02,daily_precip_total,maximum,18.922285,49.5,mm,,IMERG,IMERG_FINAL_V07B_2020-11-26_SA-02_maximum,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,72,2020-11-27T00:00:00Z,2020-11-28T00:00:00Z,SA-02,daily_precip_total,weighted_mean,6.1736636,2.46,mm,,IMERG,IMERG_FINAL_V07B_2020-11-27_SA-02_weighted_mean,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,72,2020-11-27T00:00:00Z,2020-11-28T00:00:00Z,SA-02,daily_precip_total,spatial_p95,14.19093,8.785,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-11-27_SA-02_spatial_p95,1.0,,accepted
20201125_00,2020-11-25T00:00:00Z,72,2020-11-27T00:00:00Z,2020-11-28T00:00:00Z,SA-02,daily_precip_total,maximum,17.60288,46.2,mm,,IMERG,IMERG_FINAL_V07B_2020-11-27_SA-02_maximum,1.0,,accepted
