case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200706_00,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,SA-04,tmin_c,station_mean,31.698104858398438,30.2,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-06_SA-04_tmin_c_station_mean,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,SA-04,tmin_c,station_max,32.74822998046875,31.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-06_SA-04_tmin_c_station_max,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,SA-04,tmin_c,station_min,30.931060791015625,29.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-06_SA-04_tmin_c_station_min,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,SA-04,tmax_c,station_mean,43.86687469482422,48.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-07_SA-04_tmax_c_station_mean,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,SA-04,tmax_c,station_max,46.9930419921875,50.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-07_SA-04_tmax_c_station_max,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,SA-04,tmax_c,station_min,37.55865478515625,45.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-07_SA-04_tmax_c_station_min,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,SA-04,tmin_c,station_mean,31.819679260253906,30.35,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-07_SA-04_tmin_c_station_mean,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,SA-04,tmin_c,station_max,32.92877197265625,32.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-07_SA-04_tmin_c_station_max,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,SA-04,tmin_c,station_min,30.860809326171875,29.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-07_SA-04_tmin_c_station_min,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,SA-04,tmax_c,station_mean,43.0584716796875,46.25,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-08_SA-04_tmax_c_station_mean,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,SA-04,tmax_c,station_max,46.300018310546875,48.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-08_SA-04_tmax_c_station_max,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,SA-04,tmax_c,station_min,36.44488525390625,44.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-08_SA-04_tmax_c_station_min,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,SA-04,tmin_c,station_mean,31.733062744140625,30.75,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-08_SA-04_tmin_c_station_mean,0.8,4,accepted
